IdVuelo,iteracion,temperatura,mejorFitness,candidatoFitness,fitnessActual,Probabilidad
5,0,60,355.486,355.486,355.486,1
5,1,60,347.498,347.498,347.498,1
5,2,60,347.498,351.515,351.515,0.93524
5,3,60,326.181,326.181,326.181,1
5,4,60,325.982,325.982,325.982,1
5,5,60,307.175,307.175,307.175,1
5,6,60,307.175,309.848,309.848,0.956428
5,7,60,307.175,327.51,327.51,0.744995
5,8,60,303.231,303.231,303.231,1
5,9,60,303.231,305.896,305.896,0.956567
5,10,60,298.032,298.032,298.032,1
5,11,60,275.824,275.824,275.824,1
5,12,60,275.824,297.854,275.824,0.692695
5,13,60,275.824,289.591,289.591,0.79498
5,14,60,275.824,303.22,303.22,0.796797
5,15,60,275.824,280.095,280.095,1
5,16,60,275.824,283.283,283.283,0.948254
5,17,60,275.824,294.813,294.813,0.82517
5,18,60,275.824,281.982,281.982,1
5,19,60,263.907,263.907,263.907,1
5,20,60,263.907,279.91,279.91,0.765889
5,21,60,263.907,266.869,266.869,1
5,22,60,261.179,261.179,261.179,1
5,23,60,261.179,279.147,261.179,0.741206
5,24,60,256.474,256.474,256.474,1
5,25,60,256.474,260.206,260.206,0.939689
5,26,60,239.885,239.885,239.885,1
5,27,60,214.76,214.76,214.76,1
5,28,60,195.349,195.349,195.349,1
5,29,60,175.293,175.293,175.293,1
5,30,60,175.293,180.454,180.454,0.917569
5,31,60,175.293,189.94,189.94,0.853768
5,32,60,167.572,167.572,167.572,1
5,33,60,167.572,168.629,168.629,0.982533
5,34,60,167.572,170.59,168.629,0.967846
5,35,60,146.098,146.098,146.098,1
5,36,60,142.808,142.808,142.808,1
5,37,60,126.119,126.119,126.119,1
5,38,60,108.904,108.904,108.904,1
5,39,60,108.904,111.032,111.032,0.965167
5,40,60,108.904,126.224,126.224,0.776313
5,41,60,108.904,115.239,115.239,1
5,42,60,108.904,115.384,115.384,0.997588
5,43,60,97.3095,97.3095,97.3095,1
5,44,60,97.3095,112.2,112.2,0.780229
5,45,60,97.3095,109.364,109.364,1
5,46,60,95.6324,95.6324,95.6324,1
5,47,60,95.6324,100.219,100.219,0.926409
5,48,60,95.6324,104.606,100.219,0.929496
5,49,60,95.6324,115.163,115.163,0.77952
5,50,60,95.6324,129.036,129.036,0.793568
5,51,60,95.6324,108.178,108.178,1
5,52,60,95.6324,122.501,122.501,0.787641
5,53,60,95.6324,103.042,103.042,1
5,54,60,95.6324,102.83,102.83,1
5,55,60,95.6324,96.9824,96.9824,1
5,56,60,95.6324,106.301,96.9824,0.856155
5,57,60,82.9282,82.9282,82.9282,1
5,58,60,75.1608,75.1608,75.1608,1
5,59,60,75.1608,80.9813,80.9813,0.907548
5,60,60,61.1907,61.1907,61.1907,1
5,61,60,61.1907,82.2883,82.2883,0.703543
5,62,60,61.1907,72.2115,72.2115,1
5,63,60,61.1907,76.3937,76.3937,0.93267
5,64,60,59.0072,59.0072,59.0072,1
5,65,60,59.0072,66.6114,66.6114,0.880965
5,66,60,59.0072,73.4345,73.4345,0.89251
5,67,60,59.0072,80.6987,80.6987,0.885973
5,68,60,59.0072,98.7064,98.7064,0.740723
5,69,60,59.0072,115.49,115.49,0.755991
5,70,60,59.0072,137.027,137.027,0.698413
5,71,60,59.0072,119.49,119.49,1
5,72,60,59.0072,136.83,136.83,0.749007
5,73,60,59.0072,113.624,113.624,1
5,74,60,59.0072,112.551,112.551,1
5,75,60,59.0072,88.3293,88.3293,1
5,76,60,59.0072,76.2264,76.2264,1
5,77,60,59.0072,61.3556,61.3556,1
5,78,60,59.0072,78.3628,61.3556,0.753179
5,79,60,59.0072,80.5316,80.5316,0.72644
5,80,60,59.0072,65.725,65.725,1
5,81,60,59.0072,66.554,66.554,0.986279
5,82,60,59.0072,73.661,73.661,0.888295
5,83,60,59.0072,93.8634,93.8634,0.714119
5,84,60,59.0072,91.5247,91.5247,1
5,85,60,59.0072,101.448,101.448,0.847568
5,86,60,59.0072,114.932,114.932,0.798725
5,87,60,59.0072,130.918,130.918,0.766112
5,88,60,59.0072,127.012,127.012,1
5,89,60,59.0072,139.374,139.374,0.813801
5,90,60,59.0072,139.263,139.263,1
5,91,60,59.0072,132.214,132.214,1
5,92,60,59.0072,122.298,122.298,1
5,93,60,59.0072,114.407,114.407,1
5,94,60,59.0072,122.696,122.696,0.870959
5,95,60,59.0072,144.048,122.696,0.700569
5,96,60,59.0072,127.702,127.702,0.919952
5,97,60,59.0072,125.606,125.606,1
5,98,60,59.0072,146.868,146.868,0.70162
5,99,60,59.0072,136.976,136.976,1
5,100,60,59.0072,121.748,121.748,1
5,101,57,59.0072,111.003,111.003,1
5,102,57,59.0072,121.11,111.003,0.837512
5,103,57,59.0072,113.985,113.985,0.949013
5,104,57,59.0072,97.8397,97.8397,1
5,105,57,59.0072,99.0031,99.0031,0.979796
5,106,57,59.0072,102.753,102.753,0.936325
5,107,57,59.0072,102.645,102.645,1
5,108,57,59.0072,106.256,106.256,0.938613
5,109,57,59.0072,90.6512,90.6512,1
5,110,57,59.0072,97.624,90.6512,0.884857
5,111,57,59.0072,79.613,79.613,1
5,112,57,59.0072,64.1251,64.1251,1
5,113,57,59.0072,72.6955,72.6955,0.8604
5,114,57,59.0072,77.5247,77.5247,0.918766
5,115,57,59.0072,100.999,77.5247,0.662435
5,116,57,58.5583,58.5583,58.5583,1
5,117,57,58.5583,64.39,64.39,0.902749
5,118,57,57.4677,57.4677,57.4677,1
5,119,57,57.1529,57.1529,57.1529,1
5,120,57,57.1529,60.7555,60.7555,0.938753
5,121,57,57.1529,83.4048,60.7555,0.672095
5,122,57,57.1529,61.5728,61.5728,0.985764
5,123,57,57.1529,77.2121,77.2121,0.760048
5,124,57,57.1529,67.2427,67.2427,1
5,125,57,57.1529,82.7725,67.2427,0.76151
