IdVuelo,TiempoEntrada,X_In,Y_In,Z_In,TiempoSalidaPlan,X_SalP,Y_SalP,Z_SalP,HayConflicto,Resuelto,TipoManiobra,Magnitud,TiempoSalidaReal,X_SalR,Y_SalR,Z_SalR, NumAvionesAct
4280,72223.0000,496.3875,0.0000,9.7978,72423.9688,586.1852,1000.0000,9.7978,0,0,-1,0.0000,72423.9688,586.1852,1000.0000,9.7978,12
4281,72230.0000,841.9656,0.0000,8.2354,72537.4688,399.5005,1000.0000,8.2354,0,0,-1,0.0000,72537.4688,399.5005,1000.0000,8.2354,13
4282,72240.0000,0.0000,158.0907,9.1744,72546.8594,738.4782,999.9999,9.1744,0,0,-1,0.0000,72546.8594,738.4782,999.9999,9.1744,13
4283,72262.0000,364.7073,85.4776,15.0000,72461.1328,542.1116,1000.0000,15.0000,0,0,-1,0.0000,72461.1328,542.1116,1000.0000,15.0000,13
4284,72287.0000,95.2429,425.0697,15.0000,72561.9844,1000.0000,472.9783,15.0000,0,0,-1,0.0000,72561.9844,1000.0000,472.9783,15.0000,11
4285,72306.0000,107.1430,0.0000,11.2176,72557.6719,605.2624,1000.0000,11.2176,0,0,-1,0.0000,72557.6719,605.2624,1000.0000,11.2176,12
4286,72319.0000,407.0878,0.0000,10.8403,72591.6875,479.3244,999.9999,10.8403,0,0,-1,0.0000,72591.6875,479.3244,999.9999,10.8403,12
4287,72334.0000,182.5996,0.0000,12.1337,72576.9844,700.9799,1000.0000,12.1337,0,0,-1,0.0000,72576.9844,700.9799,1000.0000,12.1337,12
4288,72351.0000,1000.0000,960.2689,12.4202,72697.3359,-0.0000,368.3855,12.4202,0,0,-1,0.0000,72697.3359,-0.0000,368.3855,12.4202,13
4289,72359.0000,706.9643,0.0000,14.9459,72594.2812,-0.0000,905.2215,14.9459,0,0,-1,0.0000,72594.2812,-0.0000,905.2215,14.9459,14
4290,72370.0000,3.2292,279.0229,8.0000,72674.7031,999.9999,813.1963,8.0000,0,0,-1,0.0000,72674.7031,999.9999,813.1963,8.0000,15
4291,72399.0000,0.0000,173.1549,12.6122,72637.6797,825.5064,1000.0000,12.6122,0,0,-1,0.0000,72637.6797,825.5064,1000.0000,12.6122,15
4292,72425.0000,1000.0000,106.4104,10.8624,72698.7812,268.3006,1000.0000,10.8624,0,0,-1,0.0000,72698.7812,268.3006,1000.0000,10.8624,15
4293,72439.0000,209.2332,0.0000,14.4648,72782.5547,1000.0000,834.5688,14.4648,0,0,-1,0.0000,72782.5547,1000.0000,834.5688,14.4648,16
4294,72451.0000,982.1052,0.0000,11.3778,72731.1484,387.0830,1000.0001,11.3778,0,0,-1,0.0000,72731.1484,387.0830,1000.0001,11.3778,16
4295,72470.0000,1000.0000,714.3204,11.0598,72706.5703,-0.0000,458.2926,11.0598,0,0,-1,0.0000,72706.5703,-0.0000,458.2926,11.0598,15
4296,72497.0000,465.5925,397.1161,8.0000,72632.3672,517.9079,1000.0001,8.0000,0,0,-1,0.0000,72632.3672,517.9079,1000.0001,8.0000,15
4297,72521.0000,0.0000,828.0068,8.6722,72826.2422,736.6823,-0.0000,8.6722,0,0,-1,0.0000,72826.2422,736.6823,-0.0000,8.6722,16
4298,72534.0000,1000.0000,562.9455,9.3244,72835.6875,-0.0000,531.0201,9.3244,0,0,-1,0.0000,72835.6875,-0.0000,531.0201,9.3244,16
4299,72552.0000,440.6192,663.1626,8.0000,72705.4844,723.9976,-0.0000,8.0000,0,0,-1,0.0000,72705.4844,723.9976,-0.0000,8.0000,15
4300,72567.0000,0.0000,192.5853,11.0733,72837.1875,999.9999,736.1689,11.0733,0,0,-1,0.0000,72837.1875,999.9999,736.1689,11.0733,14
4301,72574.0000,884.0043,0.0000,10.1658,72848.5938,-0.0000,598.8015,10.1658,0,0,-1,0.0000,72848.5938,-0.0000,598.8015,10.1658,15
4302,72594.0000,30.6307,0.0000,13.8505,72834.6328,525.0806,1000.0000,13.8505,0,0,-1,0.0000,72834.6328,525.0806,1000.0000,13.8505,14
4303,72610.0000,473.6846,1000.0000,11.0187,72828.1953,373.7103,-0.0000,11.0187,0,0,-1,0.0000,72828.1953,373.7103,-0.0000,11.0187,14
4304,72629.0000,649.5453,424.2925,8.0000,72861.7188,-0.0000,963.6539,8.0000,0,0,-1,0.0000,72861.7188,-0.0000,963.6539,8.0000,15
4305,72644.0000,1000.0000,723.4463,8.9884,72960.2109,-0.0000,69.9041,8.9884,0,0,-1,0.0000,72960.2109,-0.0000,69.9041,8.9884,14
4306,72656.0000,636.9853,107.3577,15.0000,72975.5859,-0.0000,934.9120,15.0000,0,0,-1,0.0000,72975.5859,-0.0000,934.9120,15.0000,15
4307,72678.0000,65.8735,99.9467,15.0000,72973.4141,999.9999,514.4859,15.0000,0,0,-1,0.0000,72973.4141,999.9999,514.4859,15.0000,15
4308,72685.0000,632.7636,724.9948,15.0000,72943.7891,87.1040,-0.0000,15.0000,0,0,-1,0.0000,72943.7891,87.1040,-0.0000,15.0000,16
4309,72691.0000,0.0000,588.5643,9.8347,72908.0859,1000.0001,529.7961,9.8347,0,0,-1,0.0000,72908.0859,1000.0001,529.7961,9.8347,17
4310,72708.0000,67.5647,0.0000,9.8849,72953.1250,730.8359,1000.0000,9.8849,0,0,-1,0.0000,72953.1250,730.8359,1000.0000,9.8849,14
4311,72725.0000,257.4054,0.0000,13.1199,73081.1797,737.1960,1000.0000,13.1199,0,0,-1,0.0000,73081.1797,737.1960,1000.0000,13.1199,15
4312,72734.0000,804.5811,485.4241,8.0000,72910.2656,-0.0000,666.0724,8.0000,0,0,-1,0.0000,72910.2656,-0.0000,666.0724,8.0000,15
4313,72751.0000,0.0000,299.4826,12.9046,73041.3203,925.9355,999.9999,12.9046,0,0,-1,0.0000,73041.3203,925.9355,999.9999,12.9046,16
4314,72772.0000,0.0000,2.0184,8.5446,73147.0312,999.9999,614.2765,8.5446,0,0,-1,0.0000,73147.0312,999.9999,614.2765,8.5446,17
4315,72795.0000,159.3889,742.1005,15.0000,73060.5625,1000.0000,498.2042,15.0000,0,0,-1,0.0000,73060.5625,1000.0000,498.2042,15.0000,17
4316,72814.0000,1000.0000,305.4332,14.3374,73084.6641,-0.0000,385.9355,14.3374,0,0,-1,0.0000,73084.6641,-0.0000,385.9355,14.3374,18
4317,72832.0000,38.9907,669.7244,15.0000,73152.3906,1000.0000,319.3625,15.0000,0,0,-1,0.0000,73152.3906,1000.0000,319.3625,15.0000,17
4318,72843.0000,1000.0000,807.5593,13.8058,73179.9844,-0.0000,246.8240,13.8058,0,0,-1,0.0000,73179.9844,-0.0000,246.8240,13.8058,15
4319,72854.0000,1000.0000,696.2067,11.0966,73070.0078,-0.0000,586.2028,11.0966,0,0,-1,0.0000,73070.0078,-0.0000,586.2028,11.0966,15
4320,72863.0000,502.9570,51.9943,15.0000,73156.7578,526.5197,1000.0000,15.0000,0,0,-1,0.0000,73156.7578,526.5197,1000.0000,15.0000,15
4321,72871.0000,234.2047,900.0111,15.0000,73167.5234,890.1161,-0.0000,15.0000,0,0,-1,0.0000,73167.5234,890.1161,-0.0000,15.0000,16
4322,72886.0000,386.7601,1000.0000,9.0377,73089.8984,289.6656,-0.0000,9.0377,0,0,-1,0.0000,73089.8984,289.6656,-0.0000,9.0377,17
4323,72908.0000,1000.0000,305.8062,14.1546,73112.1953,-0.0000,473.9706,14.1546,0,0,-1,0.0000,73112.1953,-0.0000,473.9706,14.1546,18
4324,72914.0000,329.0645,389.2806,8.0000,73061.2031,1000.0000,646.8916,8.0000,0,0,-1,0.0000,73061.2031,1000.0000,646.8916,8.0000,17
4325,72937.0000,0.0000,293.7901,14.3654,73175.0391,892.4603,999.9999,14.3654,0,0,-1,0.0000,73175.0391,892.4603,999.9999,14.3654,18
4326,72957.0000,935.7658,883.2294,15.0000,73232.3281,-0.0000,404.8298,15.0000,0,0,-1,0.0000,73232.3281,-0.0000,404.8298,15.0000,17
4327,72985.0000,846.0276,662.8528,8.0000,73224.6875,81.0653,-0.0000,8.0000,0,0,-1,0.0000,73224.6875,81.0653,-0.0000,8.0000,15
4328,72998.0000,1000.0000,890.9849,14.4334,73224.8906,-0.0000,396.3710,14.4334,0,0,-1,0.0000,73224.8906,-0.0000,396.3710,14.4334,16
4329,73010.0000,806.3412,1000.0000,10.0584,73292.7344,-0.0000,154.4581,10.0584,0,0,-1,0.0000,73292.7344,-0.0000,154.4581,10.0584,17
4330,73037.0000,0.0000,952.7834,13.3101,73364.4844,961.5123,-0.0000,13.3101,0,0,-1,0.0000,73364.4844,961.5123,-0.0000,13.3101,18
4331,73059.0000,0.0000,256.9783,14.9162,73368.4609,1000.0001,825.4390,14.9162,0,0,-1,0.0000,73368.4609,1000.0001,825.4390,14.9162,18
4332,73067.0000,1000.0000,575.7830,11.5310,73303.1719,-0.0000,192.9453,11.5310,0,0,-1,0.0000,73303.1719,-0.0000,192.9453,11.5310,17
4333,73080.0000,1000.0000,879.0331,12.1430,73315.7422,-0.0000,403.6395,12.1430,0,0,-1,0.0000,73315.7422,-0.0000,403.6395,12.1430,17
4334,73098.0000,78.8687,1000.0000,10.4187,73385.6172,517.9877,-0.0000,10.4187,0,0,-1,0.0000,73385.6172,517.9877,-0.0000,10.4187,15
4335,73117.0000,0.0000,496.9150,12.3540,73443.1250,1000.0001,783.2898,12.3540,0,0,-1,0.0000,73443.1250,1000.0001,783.2898,12.3540,15
4336,73136.0000,198.4388,965.3715,8.0000,73434.8438,548.6974,-0.0000,8.0000,0,0,-1,0.0000,73434.8438,548.6974,-0.0000,8.0000,16
4337,73149.0000,131.1966,0.0000,10.5695,73404.7734,1000.0001,811.1094,10.5695,0,0,-1,0.0000,73404.7734,1000.0001,811.1094,10.5695,16
4338,73165.0000,628.4918,432.2805,15.0000,73343.3906,-0.0000,817.0330,15.0000,0,0,-1,0.0000,73343.3906,-0.0000,817.0330,15.0000,15
4339,73174.0000,475.7135,480.5800,15.0000,73375.2109,965.6807,1000.0000,15.0000,0,0,-1,0.0000,73375.2109,965.6807,1000.0000,15.0000,15
4340,73199.0000,260.3965,0.0000,11.2827,73484.4375,909.6986,1000.0000,11.2827,0,0,-1,0.0000,73484.4375,909.6986,1000.0000,11.2827,14
4341,73211.0000,297.9607,785.1252,8.0000,73483.3906,810.8360,-0.0000,8.0000,0,0,-1,0.0000,73483.3906,810.8360,-0.0000,8.0000,15
4342,73234.0000,107.2034,1000.0000,12.1904,73481.9062,1000.0000,177.3401,12.1904,0,0,-1,0.0000,73481.9062,1000.0000,177.3401,12.1904,13
4343,73244.0000,1000.0000,691.2540,14.4440,73444.9297,-0.0000,655.0426,14.4440,0,0,-1,0.0000,73444.9297,-0.0000,655.0426,14.4440,14
4344,73271.0000,0.0000,702.3108,8.3630,73590.9375,999.9999,665.8119,8.3630,0,0,-1,0.0000,73590.9375,999.9999,665.8119,8.3630,15
4345,73289.0000,0.0000,419.9030,9.3547,73594.4922,1000.0000,954.2922,9.3547,0,0,-1,0.0000,73594.4922,1000.0000,954.2922,9.3547,16
4346,73308.0000,1000.0000,726.0921,11.4949,73541.0859,-0.0000,175.2626,11.4949,0,0,-1,0.0000,73541.0859,-0.0000,175.2626,11.4949,15
4347,73332.0000,1000.0000,357.5619,8.9237,73614.6484,-0.0000,422.7298,8.9237,0,0,-1,0.0000,73614.6484,-0.0000,422.7298,8.9237,15
4348,73346.0000,919.6279,980.2642,8.0000,73627.6016,-0.0000,387.8854,8.0000,0,0,-1,0.0000,73627.6016,-0.0000,387.8854,8.0000,15
4349,73357.0000,381.8073,1000.0000,12.6057,73666.0703,458.6478,-0.0000,12.6057,0,0,-1,0.0000,73666.0703,458.6478,-0.0000,12.6057,16
4350,73386.0000,201.4589,0.0000,12.5558,73661.2734,632.9631,1000.0000,12.5558,0,0,-1,0.0000,73661.2734,632.9631,1000.0000,12.5558,13
4351,73405.0000,891.3724,1000.0000,9.6893,73684.7344,537.2308,-0.0000,9.6893,0,0,-1,0.0000,73684.7344,537.2308,-0.0000,9.6893,13
4352,73425.0000,0.0000,640.0877,10.7883,73717.1797,1000.0000,384.2939,10.7883,0,0,-1,0.0000,73717.1797,1000.0000,384.2939,10.7883,14
4353,73450.0000,226.0225,0.0000,13.0110,73679.8516,657.5859,1000.0001,13.0110,0,0,-1,0.0000,73679.8516,657.5859,1000.0001,13.0110,12
4354,73460.0000,377.3447,257.2283,15.0000,73633.4062,480.5975,1000.0000,15.0000,0,0,-1,0.0000,73633.4062,480.5975,1000.0000,15.0000,13
4355,73477.0000,1000.0000,941.8566,8.1385,73697.8281,-0.0000,543.9101,8.1385,0,0,-1,0.0000,73697.8281,-0.0000,543.9101,8.1385,14
