IdVuelo,iteracion,temperatura,mejorFitness,candidatoFitness,fitnessActual,Probabilidad
5,0,1289.32,132.32,132.32,132.32,1
5,1,1289.32,132.32,160.15,160.15,0.978647
5,2,1289.32,132.32,607.127,607.127,0.707034
5,3,1289.32,132.32,482.446,482.446,1
5,4,1289.32,132.32,236.855,236.855,1
5,5,1289.32,132.32,353.805,353.805,0.913286
5,6,1289.32,132.32,388.884,388.884,0.97316
5,7,1289.32,132.32,614.602,614.602,0.8394
5,8,1289.32,132.32,377.226,377.226,1
5,9,1289.32,132.32,215.872,215.872,1
5,10,1289.32,120.393,120.393,120.393,1
5,11,1289.32,120.393,162.829,162.829,0.967623
5,12,1289.32,120.393,329.837,329.837,0.878506
5,13,1289.32,120.393,433.847,433.847,0.922498
5,14,1289.32,120.393,492.256,492.256,0.955709
5,15,1289.32,120.393,148.836,148.836,1
5,16,1289.32,85.0333,85.0333,85.0333,1
5,17,1289.32,85.0333,529.558,529.558,0.70838
5,18,1289.32,62.5332,62.5332,62.5332,1
5,19,1289.32,62.5332,260.794,62.5332,0.857468
5,20,1289.32,62.5332,113.806,113.806,0.961013
5,21,1289.32,62.5332,127.942,127.942,0.989096
5,22,1289.32,62.5332,195.317,195.317,0.949086
5,23,1289.32,62.5332,423.999,423.999,0.837473
5,24,1289.32,62.5332,468.778,468.778,0.965866
5,25,1289.32,62.5332,246.321,246.321,1
5,26,1289.32,62.5332,141.573,141.573,1
5,27,1289.32,62.5332,173.583,173.583,0.975479
5,28,1289.32,55.7981,55.7981,55.7981,1
5,29,1289.32,55.7981,100.783,100.783,0.965711
5,30,1289.32,55.7981,343.107,343.107,0.828659
5,31,1289.32,55.7981,445.899,445.899,0.92337
5,32,1289.32,55.7981,120.331,120.331,1
5,33,1289.32,55.7981,106.588,106.588,1
5,34,1289.32,55.7981,405.211,405.211,0.793253
5,35,1289.32,55.7981,191.369,191.369,1
5,36,1289.32,55.7981,296.122,296.122,0.921966
5,37,1289.32,55.7981,95.1342,95.1342,1
5,38,1289.32,55.7981,177.216,177.216,0.938321
5,39,1289.32,55.7981,309.116,309.116,0.902757
5,40,1289.32,55.7981,94.9798,94.9798,1
5,41,1224.86,55.7981,247.769,247.769,0.882726
5,42,1224.86,55.7981,292.825,292.825,0.963884
5,43,1224.86,55.7981,368.687,368.687,0.939943
5,44,1224.86,55.7981,143.551,143.551,1
5,45,1224.86,55.7981,67.8991,67.8991,1
5,46,1224.86,55.7981,259.944,259.944,0.854883
5,47,1224.86,55.7981,429.99,429.99,0.870377
5,48,1224.86,55.7981,110.686,110.686,1
5,49,1224.86,55.7981,348.562,348.562,0.823487
5,50,1224.86,55.7981,377.996,377.996,0.976256
5,51,1224.86,55.7981,118.172,118.172,1
5,52,1224.86,55.7981,191.896,191.896,0.941585
5,53,1224.86,55.7981,165.257,165.257,1
5,54,1224.86,55.7981,383.782,383.782,0.836601
5,55,1224.86,55.7981,189.557,189.557,1
5,56,1224.86,55.7981,284.673,284.673,0.925284
5,57,1224.86,55.7981,377.538,377.538,0.926986
5,58,1224.86,55.7981,512.934,512.934,0.89535
5,59,1224.86,55.7981,457.157,457.157,1
5,60,1224.86,55.7981,335.964,335.964,1
5,61,1224.86,55.7981,131.871,131.871,1
5,62,1224.86,55.7981,339.484,339.484,0.844086
5,63,1224.86,55.7981,401.043,401.043,0.950984
5,64,1224.86,55.7981,329.966,329.966,1
5,65,1224.86,55.7981,383.096,383.096,0.95755
5,66,1224.86,55.7981,181.997,181.997,1
5,67,1224.86,55.7981,256.405,256.405,0.94106
5,68,1224.86,55.7981,176.107,176.107,1
5,69,1224.86,55.7981,61.3002,61.3002,1
5,70,1224.86,55.7981,309.098,309.098,0.816843
5,71,1224.86,55.7981,348.119,348.119,0.968645
5,72,1224.86,55.7981,247.298,247.298,1
5,73,1224.86,55.7981,250.216,250.216,0.997621
5,74,1224.86,55.7981,62.6329,62.6329,1
5,75,1224.86,55.7981,326.183,326.183,0.806406
5,76,1224.86,55.7981,331.35,331.35,0.995791
5,77,1224.86,55.7981,135.005,135.005,1
5,78,1224.86,55.7981,346.517,346.517,0.841404
5,79,1224.86,55.7981,302.774,302.774,1
5,80,1224.86,55.7981,304.288,304.288,0.998765
5,81,1163.61,55.7981,221.816,221.816,1
5,82,1163.61,55.7981,312.307,312.307,0.92518
5,83,1163.61,55.7981,514.982,312.307,0.840148
5,84,1163.61,55.7981,358.865,358.865,0.960778
5,85,1163.61,55.7981,371.109,371.109,0.989533
5,86,1163.61,55.7981,270.259,270.259,1
5,87,1163.61,55.7981,222.214,222.214,1
5,88,1163.61,55.7981,230.399,230.399,0.992991
5,89,1163.61,55.7981,283.79,283.79,0.955153
5,90,1163.61,55.7981,283.181,283.181,1
5,91,1163.61,55.7981,148.437,148.437,1
5,92,1163.61,55.7981,158.051,158.051,0.991772
5,93,1163.61,55.7981,218.796,218.796,0.949136
5,94,1163.61,55.7981,57.918,57.918,1
5,95,1163.61,55.7981,144.283,144.283,0.928466
5,96,1163.61,55.7981,113.024,113.024,1
5,97,1163.61,55.7981,76.9545,76.9545,1
5,98,1163.61,55.7981,100.317,100.317,0.980123
5,99,1163.61,55.7981,241.589,241.589,0.885673
5,100,1163.61,55.7981,368.2,368.2,0.896902
5,101,1163.61,55.7981,219.188,219.188,1
5,102,1163.61,55.7981,244.486,244.486,0.978494
5,103,1163.61,55.7981,145.768,145.768,1
5,104,1163.61,55.7981,340.153,340.153,0.846155
5,105,1163.61,55.7981,437.574,437.574,0.919686
5,106,1163.61,55.7981,503.626,503.626,0.944817
5,107,1163.61,55.7981,452.938,452.938,1
5,108,1163.61,55.7981,259.995,259.995,1
5,109,1163.61,55.7981,174.416,174.416,1
5,110,1163.61,55.7981,151.658,151.658,1
5,111,1163.61,55.7981,127.486,127.486,1
5,112,1163.61,55.7981,142.232,142.232,0.987408
5,113,1163.61,55.7981,264.254,264.254,0.900446
5,114,1163.61,55.7981,402.249,402.249,0.88817
5,115,1163.61,55.7981,257.555,257.555,1
5,116,1163.61,55.7981,473.758,473.758,0.830437
5,117,1163.61,55.7981,459.565,459.565,1
5,118,1163.61,55.7981,304.659,304.659,1
5,119,1163.61,55.7981,96.7264,96.7264,1
5,120,1163.61,55.7981,296.784,296.784,0.84204
5,121,1105.43,55.7981,514.154,514.154,0.821488
5,122,1105.43,55.7981,316.58,316.58,1
5,123,1105.43,55.7981,117.572,117.572,1
5,124,1105.43,55.7981,259.219,259.219,0.879733
5,125,1105.43,55.7981,335.782,335.782,0.933084
5,126,1105.43,55.7981,448.839,448.839,0.902781
5,127,1105.43,55.7981,240.918,240.918,1
5,128,1105.43,55.7981,499.837,499.837,0.791185
5,129,1105.43,55.7981,398.098,398.098,1
5,130,1105.43,55.7981,140.544,140.544,1
5,131,1105.43,55.6752,55.6752,55.6752,1
5,132,1105.43,55.6752,59.4862,59.4862,0.996558
5,133,1105.43,55.6752,243.678,243.678,0.846518
5,134,1105.43,55.6752,64.81,64.81,1
5,135,1105.43,55.6752,70.1979,70.1979,0.995138
5,136,1105.43,55.6752,349.876,349.876,0.776465
5,137,1105.43,55.6752,241.471,241.471,1
5,138,1105.43,55.6752,119.801,119.801,1
5,139,1105.43,55.6752,496.848,496.848,0.710998
5,140,1105.43,55.6752,156.99,156.99,1
5,141,1105.43,55.6752,360.224,156.99,0.83206
5,142,1105.43,55.6752,103.327,103.327,1
5,143,1105.43,55.6752,70.2266,70.2266,1
5,144,1105.43,55.6752,342.222,342.222,0.78188
5,145,1105.43,55.6752,455.819,455.819,0.902342
5,146,1105.43,55.6752,390.385,390.385,1
5,147,1105.43,55.6752,288.282,288.282,1
5,148,1105.43,55.6752,138.916,138.916,1
5,149,1105.43,55.6752,128.427,128.427,1
5,150,1105.43,55.6752,168.584,128.427,0.964325
5,151,1105.43,55.6752,307.177,307.177,0.850695
5,152,1105.43,55.6752,283.484,283.484,1
5,153,1105.43,55.6752,67.9851,67.9851,1
5,154,1105.43,55.6752,195.581,195.581,0.890986
5,155,1105.43,55.6752,489.359,489.359,0.766625
5,156,1105.43,55.6752,97.7336,97.7336,1
5,157,1105.43,55.6752,75.8483,75.8483,1
5,158,1105.43,55.6752,85.1642,85.1642,0.991608
5,159,1105.43,55.6752,98.2322,98.2322,0.988248
5,160,1105.43,55.6752,186.141,186.141,0.923555
5,161,1050.16,55.6752,68.2042,68.2042,1
5,162,1050.16,55.6752,181.676,181.676,0.897581
5,163,1050.16,55.6752,432.48,432.48,0.787553
5,164,1050.16,55.6752,301.886,301.886,1
5,165,1050.16,55.6752,367.859,367.859,0.939111
5,166,1050.16,55.6752,298.141,298.141,1
5,167,1050.16,55.6752,161.907,161.907,1
5,168,1050.16,55.6752,241.178,241.178,0.927294
5,169,1050.16,55.6752,408.398,241.178,0.852798
5,170,1050.16,55.6752,93.3244,93.3244,1
5,171,1050.16,55.6752,336.414,336.414,0.79336
5,172,1050.16,55.6752,397.331,397.331,0.943643
5,173,1050.16,55.6752,178.15,178.15,1
5,174,1050.16,55.6752,234.617,234.617,0.947651
5,175,1050.16,55.6752,457.751,457.751,0.80858
5,176,1050.16,55.6752,198.011,198.011,1
5,177,1050.16,55.6752,109.683,109.683,1
5,178,1050.16,55.6752,130.439,130.439,0.980429
5,179,1050.16,55.6752,117.234,117.234,1
5,180,1050.16,55.6752,80.96,80.96,1
5,181,1050.16,55.6752,125.356,125.356,0.958605
5,182,1050.16,55.6752,88.7215,88.7215,1
5,183,1050.16,55.6752,127.267,127.267,0.963961
5,184,1050.16,55.6752,130.6,130.6,0.996831
5,185,1050.16,55.6752,80.4471,80.4471,1
5,186,1050.16,55.6752,275.797,275.797,0.830257
5,187,1050.16,55.6752,417.194,417.194,0.874028
5,188,1050.16,55.6752,287.539,287.539,1
5,189,1050.16,55.6752,507.225,507.225,0.811238
5,190,1050.16,55.6752,332.141,332.141,1
5,191,1050.16,55.6752,314.67,314.67,1
5,192,1050.16,55.6752,250.729,250.729,1
5,193,1050.16,55.6752,112.85,112.85,1
5,194,1050.16,55.6752,382.318,112.85,0.77368
5,195,1050.16,55.6752,105.259,105.259,1
5,196,1050.16,55.6752,179.377,179.377,0.931855
5,197,1050.16,55.6752,107.141,107.141,1
5,198,1050.16,55.6752,157.424,157.424,0.953247
