IdVuelo,iteracion,temperatura,mejorFitness,candidatoFitness,fitnessActual,Probabilidad
5,0,96.2011,355.486,355.486,355.486,1
5,1,96.2011,337.979,337.979,337.979,1
5,2,96.2011,337.979,350.086,337.979,0.881748
5,3,96.2011,321.158,321.158,321.158,1
5,4,96.2011,305.236,305.236,305.236,1
5,5,96.2011,303.77,303.77,303.77,1
5,6,96.2011,290.356,290.356,290.356,1
5,7,96.2011,277.139,277.139,277.139,1
5,8,96.2011,277.139,280.935,280.935,0.961309
5,9,96.2011,277.139,303.677,303.677,0.789461
5,10,96.2011,277.139,306.973,306.973,0.966321
5,11,96.2011,277.139,296.97,296.97,1
5,12,96.2011,276.815,276.815,276.815,1
5,13,96.2011,276.815,280.55,280.55,0.961924
5,14,96.2011,276.815,286.867,286.867,0.936445
5,15,96.2011,276.815,294.856,294.856,0.920311
5,16,96.2011,276.815,292.995,292.995,1
5,17,96.2011,271.831,271.831,271.831,1
5,18,96.2011,259.015,259.015,259.015,1
5,19,96.2011,259.015,270.887,270.887,0.883908
5,20,96.2011,259.015,291.48,291.48,0.807297
5,21,96.2011,259.015,278.887,278.887,1
5,22,96.2011,259.015,270.595,270.595,1
5,23,96.2011,259.015,293.092,293.092,0.791476
5,24,96.2011,259.015,273.829,273.829,1
5,25,96.2011,259.015,260.802,260.802,1
5,26,96.2011,259.015,270.897,270.897,0.900388
5,27,96.2011,259.015,266.362,266.362,1
5,28,96.2011,259.015,290.466,290.466,0.778366
5,29,96.2011,259.015,285.098,285.098,1
5,30,96.2011,259.015,287.525,287.525,0.975083
5,31,96.2011,259.015,285.871,285.871,1
5,32,96.2011,259.015,270.324,270.324,1
5,33,96.2011,259.015,286.186,286.186,0.847994
5,34,96.2011,259.015,269.622,269.622,1
5,35,96.2011,259.015,294.376,294.376,0.773126
5,36,96.2011,259.015,291.374,291.374,1
5,37,96.2011,259.015,298.512,298.512,0.928483
5,38,96.2011,259.015,283.908,283.908,1
5,39,96.2011,258.73,258.73,258.73,1
5,40,96.2011,256.079,256.079,256.079,1
