IdVuelo,TiempoEntrada,X_In,Y_In,Z_In,TiempoSalidaPlan,X_SalP,Y_SalP,Z_SalP,HayConflicto,Resuelto,TipoManiobra,Magnitud,TiempoSalidaReal,X_SalR,Y_SalR,Z_SalR, NumAvionesAct
2236,11143.0000,0.0000,14.9033,10.4006,11453.6406,485.3729,1000.0000,10.4006,0,0,-1,0.0000,11453.6406,485.3729,1000.0000,10.4006,59
2237,11148.0000,0.0000,446.2110,9.9348,11369.3984,1000.0000,328.9146,9.9348,0,0,-1,0.0000,11369.3984,1000.0000,328.9146,9.9348,59
2238,11154.0000,219.4245,331.3236,8.0000,11393.0342,885.4871,1000.0000,8.0000,0,0,-1,0.0000,11393.0342,885.4871,1000.0000,8.0000,59
2239,11159.0000,505.1451,1000.0000,10.9700,11407.3516,647.1375,-0.0000,10.9700,0,0,-1,0.0000,11407.3516,647.1375,-0.0000,10.9700,59
2240,11163.0000,175.8347,0.0000,13.4767,11395.4844,737.8910,1000.0000,13.4767,0,0,-1,0.0000,11395.4844,737.8910,1000.0000,13.4767,58
2241,11168.0000,152.8516,775.9018,8.0000,11403.0605,721.6017,-0.0000,8.0000,0,0,-1,0.0000,11403.0605,721.6017,-0.0000,8.0000,59
2242,11172.0000,1000.0000,170.2460,11.4276,11464.6846,-0.0000,816.7225,11.4276,0,0,-1,0.0000,11464.6846,-0.0000,816.7225,11.4276,58
2243,11177.0000,414.2751,1000.0000,9.9747,11434.7148,260.7489,-0.0000,9.9747,0,0,-1,0.0000,11434.7148,260.7489,-0.0000,9.9747,58
2244,11181.0000,0.0000,819.4070,13.3019,11469.5908,813.4260,-0.0000,13.3019,0,0,-1,0.0000,11469.5908,813.4260,-0.0000,13.3019,58
2245,11186.0000,0.0000,396.6696,14.7767,11430.3643,1000.0000,947.8680,14.7767,0,0,-1,0.0000,11430.3643,1000.0000,947.8680,14.7767,58
2246,11190.0000,987.4391,800.2844,8.0000,11416.4980,-0.0000,431.4929,8.0000,0,0,-1,0.0000,11416.4980,-0.0000,431.4929,8.0000,58
2247,11196.0000,1000.0000,390.8165,11.3448,11421.5225,-0.0000,498.6215,11.3448,0,0,-1,0.0000,11421.5225,-0.0000,498.6215,11.3448,57
2248,11200.0000,1000.0000,325.5434,9.7935,11549.6836,-0.0000,996.1957,9.7935,0,0,-1,0.0000,11549.6836,-0.0000,996.1957,9.7935,58
2249,11205.0000,0.0000,338.9871,9.0304,11494.9541,978.9047,1000.0000,9.0304,0,0,-1,0.0000,11494.9541,978.9047,1000.0000,9.0304,57
2250,11211.0000,440.2727,8.4514,8.0000,11540.1455,885.5314,999.9999,8.0000,0,0,-1,0.0000,11540.1455,885.5314,999.9999,8.0000,58
2251,11217.0000,877.3745,78.4651,8.0000,11481.9795,185.6201,1000.0000,8.0000,0,0,-1,0.0000,11481.9795,185.6201,1000.0000,8.0000,59
2252,11223.0000,0.0000,75.7619,11.4077,11518.2178,1000.0000,621.2073,11.4077,0,0,-1,0.0000,11518.2178,1000.0000,621.2073,11.4077,58
2253,11229.0000,64.2051,294.1377,8.1524,11483.8115,1000.0000,843.3558,8.0000,1,1,1,0.0000,11483.8115,1000.0000,843.3558,8.1524,59
2254,11234.0000,151.4816,546.7192,8.0000,11406.1484,1000.0000,655.9941,8.0000,0,0,-1,0.0000,11406.1484,1000.0000,655.9941,8.0000,59
2255,11239.0000,755.1940,0.0000,9.2629,11557.1680,38.1740,1000.0000,9.2629,0,0,-1,0.0000,11557.1680,38.1740,1000.0000,9.2629,59
2256,11243.0000,676.0920,0.0000,14.7926,11475.3799,239.1648,1000.0000,14.7926,0,0,-1,0.0000,11475.3799,239.1648,1000.0000,14.7926,58
2257,11249.0000,205.3723,0.0000,14.9170,11514.3184,494.1934,999.9999,14.9170,0,0,-1,0.0000,11514.3184,494.1934,999.9999,14.9170,57
2258,11253.0000,1000.0000,750.1768,8.5929,11534.5869,153.4319,-0.0000,8.5929,0,0,-1,0.0000,11534.5869,153.4319,-0.0000,8.5929,57
2259,11257.0000,104.7639,0.0000,14.9304,11551.4033,1000.0001,907.4899,14.9304,0,0,-1,0.0000,11551.4033,1000.0001,907.4899,14.9304,57
2260,11261.0000,659.0187,1000.0000,13.3835,11520.7432,542.7065,-0.0000,13.3835,0,0,-1,0.0000,11520.7432,542.7065,-0.0000,13.3835,58
2261,11266.0000,392.7400,0.0000,13.8703,11581.0342,528.0563,999.9999,13.8703,0,0,-1,0.0000,11581.0342,528.0563,999.9999,13.8703,59
