IdVuelo,TiempoEntrada,X_In,Y_In,Z_In,TiempoSalidaPlan,X_SalP,Y_SalP,Z_SalP,HayConflicto,Resuelto,TipoManiobra,Magnitud,TiempoSalidaReal,X_SalR,Y_SalR,Z_SalR, NumAvionesAct
590,5558.0000,28.3777,808.4125,15.0000,5873.6157,999.9999,428.6907,15.0000,0,0,-1,0.0000,5873.6157,999.9999,428.6907,15.0000,28
591,5567.0000,1000.0000,616.4929,10.2731,5807.0459,-0.0000,239.3655,10.2731,0,0,-1,0.0000,5807.0459,-0.0000,239.3655,10.2731,28
592,5574.0000,194.9359,694.4016,15.0000,5768.4243,999.9999,236.9227,15.0000,0,0,-1,0.0000,5768.4243,999.9999,236.9227,15.0000,29
593,5582.0000,546.7498,738.3210,8.0000,5823.2168,209.8674,-0.0000,8.0000,0,0,-1,0.0000,5823.2168,209.8674,-0.0000,8.0000,28
594,5593.0000,809.9905,595.7054,8.0000,5826.8574,-0.0000,280.5882,8.0000,0,0,-1,0.0000,5826.8574,-0.0000,280.5882,8.0000,27
595,5598.0000,409.4471,159.9397,15.0000,5818.0708,584.1846,1000.0001,15.0000,0,0,-1,0.0000,5818.0708,584.1846,1000.0001,15.0000,28
596,5604.0000,414.4407,1000.0000,13.7605,5956.6665,857.4084,-0.0000,13.7605,0,0,-1,0.0000,5956.6665,857.4084,-0.0000,13.7605,29
597,5609.0000,100.7829,39.4159,15.0000,5831.6455,999.9999,587.8218,15.0000,0,0,-1,0.0000,5831.6455,999.9999,587.8218,15.0000,29
598,5620.0000,449.1754,928.8480,15.0000,5931.5337,646.8249,-0.0000,15.0000,0,0,-1,0.0000,5931.5337,646.8249,-0.0000,15.0000,30
599,5625.0000,1000.0000,731.9006,9.6649,5868.0571,-0.0000,377.0309,9.6649,0,0,-1,0.0000,5868.0571,-0.0000,377.0309,9.6649,30
600,5632.0000,0.0000,284.5956,13.5212,5944.5962,1000.0000,460.8395,13.5212,0,0,-1,0.0000,5944.5962,1000.0000,460.8395,13.5212,30
601,5637.0000,473.3807,166.6987,8.0000,5848.1411,686.5480,1000.0000,8.0000,0,0,-1,0.0000,5848.1411,686.5480,1000.0000,8.0000,31
602,5649.0000,922.3090,598.1807,15.0000,5956.8877,-0.0000,514.3308,15.0000,0,0,-1,0.0000,5956.8877,-0.0000,514.3308,15.0000,32
603,5656.0000,756.0026,864.7214,15.0000,5840.2104,462.2065,-0.0000,15.0000,0,0,-1,0.0000,5840.2104,462.2065,-0.0000,15.0000,32
604,5670.0000,566.9379,1000.0000,8.1749,5911.9561,399.6740,-0.0000,8.1749,0,0,-1,0.0000,5911.9561,399.6740,-0.0000,8.1749,30
605,5684.0000,332.1877,1000.0000,10.2005,5992.2178,779.0667,-0.0000,10.2005,0,0,-1,0.0000,5992.2178,779.0667,-0.0000,10.2005,30
606,5690.0000,0.0000,687.5300,8.9050,5947.1997,1000.0000,491.5302,8.9050,0,0,-1,0.0000,5947.1997,1000.0000,491.5302,8.9050,30
607,5696.0000,0.0000,54.9291,14.0900,5999.0186,877.3697,1000.0000,14.0900,0,0,-1,0.0000,5999.0186,877.3697,1000.0000,14.0900,30
608,5709.0000,625.3646,500.0808,8.0000,5709.0000,625.3646,500.0808,8.0000,0,0,-1,0.0000,5709.0000,625.3646,500.0808,8.0000,29
609,5716.0000,763.3221,353.8415,15.0000,5913.0488,-0.0000,668.5394,15.0000,0,0,-1,0.0000,5913.0488,-0.0000,668.5394,15.0000,28
610,5729.0000,794.4433,0.0000,11.2062,5989.4468,493.4712,1000.0000,11.2062,0,0,-1,0.0000,5989.4468,493.4712,1000.0000,11.2062,29
611,5740.0000,0.0000,598.4924,8.3901,6060.6094,1000.0000,62.6063,8.3901,0,0,-1,0.0000,6060.6094,1000.0000,62.6063,8.3901,28
612,5746.0000,991.4156,0.0000,13.9193,6089.4385,376.0508,999.9999,13.9193,0,0,-1,0.0000,6089.4385,376.0508,999.9999,13.9193,29
613,5759.0000,520.0373,181.4115,8.0000,5950.9980,502.8864,1000.0000,8.0000,0,0,-1,0.0000,5950.9980,502.8864,1000.0000,8.0000,29
614,5771.0000,566.2134,806.9182,15.0000,6015.4082,410.9476,-0.0000,15.0000,0,0,-1,0.0000,6015.4082,410.9476,-0.0000,15.0000,27
615,5777.0000,1000.0000,682.5840,10.1324,6047.6362,-0.0000,340.2491,10.1324,0,0,-1,0.0000,6047.6362,-0.0000,340.2491,10.1324,28
616,5785.0000,1000.0000,307.7108,11.1896,6043.8120,-0.0000,449.0150,11.1896,0,0,-1,0.0000,6043.8120,-0.0000,449.0150,11.1896,29
617,5792.0000,346.3111,76.7415,15.0000,5981.9751,486.9532,1000.0000,15.0000,0,0,-1,0.0000,5981.9751,486.9532,1000.0000,15.0000,30
618,5801.0000,0.0000,962.1138,8.2477,6178.7979,1000.0000,370.1264,8.2477,0,0,-1,0.0000,6178.7979,1000.0000,370.1264,8.2477,31
619,5814.0000,112.5161,1000.0000,8.1716,6107.0537,871.5648,-0.0000,8.1716,0,0,-1,0.0000,6107.0537,871.5648,-0.0000,8.1716,30
620,5828.0000,870.4443,0.0000,9.9118,6209.9839,-0.0000,857.7714,9.9118,0,0,-1,0.0000,6209.9839,-0.0000,857.7714,9.9118,27
621,5839.0000,77.3650,93.6611,8.0000,6102.0874,595.9980,1000.0001,8.0000,0,0,-1,0.0000,6102.0874,595.9980,1000.0001,8.0000,27
622,5852.0000,786.8530,0.0000,8.0639,6178.8550,215.8663,1000.0000,8.0639,0,0,-1,0.0000,6178.8550,215.8663,1000.0000,8.0639,26
623,5859.0000,1000.0000,402.9383,12.7017,6174.9385,-0.0000,460.7464,12.7017,0,0,-1,0.0000,6174.9385,-0.0000,460.7464,12.7017,26
624,5869.0000,137.1944,401.4736,8.0000,6087.6401,1000.0000,664.9514,8.0000,0,0,-1,0.0000,6087.6401,1000.0000,664.9514,8.0000,25
625,5878.0000,655.2697,0.0000,8.3000,6101.0249,257.4227,1000.0001,8.3000,0,0,-1,0.0000,6101.0249,257.4227,1000.0001,8.3000,24
626,5883.0000,323.5567,0.0000,13.9847,6101.3408,679.2365,1000.0001,13.9847,0,0,-1,0.0000,6101.3408,679.2365,1000.0001,13.9847,25
627,5892.0000,847.3118,164.1559,15.0000,6103.6523,309.8600,1000.0000,15.0000,0,0,-1,0.0000,6103.6523,309.8600,1000.0000,15.0000,26
628,5900.0000,885.0638,0.0000,14.7792,6173.3418,-0.0000,950.9654,14.7792,0,0,-1,0.0000,6173.3418,-0.0000,950.9654,14.7792,27
629,5911.0000,637.3250,0.0000,9.1106,6225.1660,588.3957,999.9999,9.1106,0,0,-1,0.0000,6225.1660,588.3957,999.9999,9.1106,28
630,5916.0000,1000.0000,824.7975,13.1069,6226.2183,-0.0000,594.0870,13.1069,0,0,-1,0.0000,6226.2183,-0.0000,594.0870,13.1069,27
631,5925.0000,778.4205,600.2669,8.0000,6238.9326,25.7541,-0.0000,8.0000,0,0,-1,0.0000,6238.9326,25.7541,-0.0000,8.0000,28
632,5937.0000,282.4156,375.1701,15.0000,6138.8501,1000.0001,810.6128,15.0000,0,0,-1,0.0000,6138.8501,1000.0001,810.6128,15.0000,28
633,5950.0000,695.0914,943.8029,15.0000,6213.4458,150.4700,-0.0000,15.0000,0,0,-1,0.0000,6213.4458,150.4700,-0.0000,15.0000,27
634,5961.0000,125.0051,327.1185,8.0000,6273.8521,1000.0001,836.9841,8.0000,0,0,-1,0.0000,6273.8521,1000.0001,836.9841,8.0000,25
635,5966.0000,993.3431,503.2965,15.0000,5966.0000,993.3431,503.2965,15.0000,0,0,-1,0.0000,5966.0000,993.3431,503.2965,15.0000,26
636,5974.0000,750.4574,1000.0000,14.7659,6184.2803,630.2440,-0.0000,14.7659,0,0,-1,0.0000,6184.2803,630.2440,-0.0000,14.7659,26
637,5986.0000,375.9425,889.8444,15.0000,6223.3921,884.4933,-0.0000,15.0000,0,0,-1,0.0000,6223.3921,884.4933,-0.0000,15.0000,26
638,5997.0000,597.2416,437.4698,15.0000,6168.1104,-0.0000,944.9888,15.0000,0,0,-1,0.0000,6168.1104,-0.0000,944.9888,15.0000,25
639,6005.0000,0.0000,636.5413,11.5086,6226.5596,999.9999,333.5516,11.5086,0,0,-1,0.0000,6226.5596,999.9999,333.5516,11.5086,25
640,6013.0000,1000.0000,532.8463,12.6592,6217.3652,-0.0000,410.4620,12.6592,0,0,-1,0.0000,6217.3652,-0.0000,410.4620,12.6592,26
641,6024.0000,1000.0000,712.6616,12.0909,6325.8418,-0.0000,597.0591,12.0909,0,0,-1,0.0000,6325.8418,-0.0000,597.0591,12.0909,26
642,6033.0000,322.0274,464.0893,8.0000,6188.8555,999.9999,379.0815,8.0000,0,0,-1,0.0000,6188.8555,999.9999,379.0815,8.0000,27
643,6047.0000,1000.0000,535.9963,14.8574,6259.1846,-0.0000,451.5104,14.8574,0,0,-1,0.0000,6259.1846,-0.0000,451.5104,14.8574,27
644,6053.0000,320.0961,430.3620,8.0000,6253.9893,1000.0001,783.9452,8.0000,0,0,-1,0.0000,6253.9893,1000.0001,783.9452,8.0000,27
645,6062.0000,1000.0000,784.7377,9.2221,6349.2227,34.5989,-0.0000,9.2221,0,0,-1,0.0000,6349.2227,34.5989,-0.0000,9.2221,27
646,6067.0000,1000.0000,943.6993,11.5979,6331.8921,384.8429,-0.0000,11.5979,0,0,-1,0.0000,6331.8921,384.8429,-0.0000,11.5979,28
647,6077.0000,1000.0000,182.3529,10.0866,6434.8940,92.0115,1000.0000,10.0866,0,0,-1,0.0000,6434.8940,92.0115,1000.0000,10.0866,29
648,6083.0000,524.2979,998.6321,8.0000,6359.6655,457.4064,-0.0000,8.0000,0,0,-1,0.0000,6359.6655,457.4064,-0.0000,8.0000,30
649,6089.0000,128.7296,1000.0000,11.2578,6458.9082,987.5782,-0.0000,11.2578,0,0,-1,0.0000,6458.9082,987.5782,-0.0000,11.2578,30
650,6095.0000,376.9135,74.3915,15.0000,6292.9033,415.7397,1000.0000,15.0000,0,0,-1,0.0000,6292.9033,415.7397,1000.0000,15.0000,30
651,6106.0000,0.0000,74.0844,9.1791,6489.6816,1000.0000,919.3378,9.1791,0,0,-1,0.0000,6489.6816,1000.0000,919.3378,9.1791,27
652,6113.0000,543.9398,871.2515,8.0000,6324.0640,633.4534,-0.0000,8.0000,0,0,-1,0.0000,6324.0640,633.4534,-0.0000,8.0000,27
653,6123.0000,846.7483,209.5609,15.0000,6445.5449,150.2537,1000.0000,15.0000,0,0,-1,0.0000,6445.5449,150.2537,1000.0000,15.0000,28
654,6129.0000,0.0000,133.9603,11.0483,6414.6621,1000.0000,471.3505,11.0483,0,0,-1,0.0000,6414.6621,1000.0000,471.3505,11.0483,29
655,6141.0000,0.0000,283.1489,8.3729,6525.4209,1000.0001,968.1708,8.3729,0,0,-1,0.0000,6525.4209,1000.0001,968.1708,8.3729,29
656,6149.0000,390.7167,1000.0000,9.3120,6393.2959,530.5061,-0.0000,9.3120,0,0,-1,0.0000,6393.2959,530.5061,-0.0000,9.3120,30
657,6156.0000,22.4522,0.0000,13.2702,6519.0107,556.5012,1000.0001,13.2702,0,0,-1,0.0000,6519.0107,556.5012,1000.0001,13.2702,31
